bank_name,bank_code,sort_code
Oakland Microfinance Bank,90437,90437
Futminna Microfinance Bank,90438,90438
Ibeto  Microfinance Bank,90439,90439
Cherish Microfinance Bank,90440,90440
Giwa Microfinance Bank,90441,90441
Rima Microfinance Bank,90443,90443
Boi Mf Bank,90444,90444
Capstone Mf Bank,90445,90445
Support Mf Bank,90446,90446
Moyofade Mf Bank,90448,90448
Sls  Mf Bank,90449,90449
Kwasu Mf Bank,90450,90450
Atbu  Microfinance Bank,90451,90451
Unilag  Microfinance Bank,90452,90452
Uzondu Mf Bank,90453,90453
Borstal Microfinance Bank,90454,90454
MKOBO MICROFINANCE BANK LTD,90455,90455
Ospoly Microfinance Bank,90456,90456
Nice Microfinance Bank,90459,90459
Oluyole Microfinance Bank,90460,90460
Uniibadan Microfinance Bank,90461,90461
Monarch Microfinance Bank,90462,90462
Rehoboth Microfinance Bank,90463,90463
Unimaid Microfinance Bank,90464,90464
Maintrust Microfinance Bank,90465,90465
Yct Microfinance Bank,90466,90466
Good Neighbours Microfinance Bank,90467,90467
Olofin Owena Microfinance Bank,90468,90468
Aniocha Microfinance Bank,90469,90469
DOT MICROFINANCE BANK,90470,90470
Oluchukwu Microfinance Bank,90471,90471
Caretaker Microfinance Bank,90472,90472
Assets Microfinance Bank,90473,90473
Verdant Microfinance Bank,90474,90474
Giant Stride Microfinance Bank,90475,90475
Anchorage Microfinance Bank,90476,90476
Light Microfinance Bank,90477,90477
Avuenegbe Microfinance Bank,90478,90478
First Heritage Microfinance Bank,90479,90479
Cintrust Microfinance Bank,90480,90480
Prisco  Microfinance Bank,90481,90481
FEDETH MICROFINANCE BANK,90482,90482
Ada Microfinance Bank,90483,90483
Garki Microfinance Bank,90484,90484
Safegate Microfinance Bank,90485,90485
Fortress Microfinance Bank,90486,90486
Kingdom College  Microfinance Bank,90487,90487
Ibu-Aje Microfinance,90488,90488
Alvana Microfinance Bank,90489,90489
Chukwunenye  Microfinance Bank,90490,90490
Nsuk  Microfinance Bank,90491,90491
Oraukwu  Microfinance Bank,90492,90492
Iperu Microfinance Bank,90493,90493
Boji Boji Microfinance Bank,90494,90494
GOODNEWS MFB,90495,90495
Radalpha Microfinance Bank,90496,90496
Palmcoast Microfinance Bank,90497,90497
Catland Microfinance Bank,90498,90498
Pristine Divitis Microfinance Bank,90499,90499
Gwong Microfinance Bank,90500,90500
Boromu Microfinance Bank,90501,90501
Shalom Microfinance Bank,90502,90502
Projects Microfinance Bank,90503,90503
Zikora Microfinance Bank,90504,90504
Nigeria Prisonsmicrofinance Bank,90505,90505
Solid Allianze Microfinance Bank,90506,90506
Fims Microfinance Bank,90507,90507
Borno Renaissance Microfinance Bank,90508,90508
Capitalmetriq Swift Microfinance Bank,90509,90509
Umunnachi Microfinance Bank,90510,90510
Cloverleaf  Microfinance Bank,90511,90511
Bubayero Microfinance Bank,90512,90512
Seap Microfinance Bank,90513,90513
Umuchinemere Procredit Microfinance Bank,90514,90514
Rima Growth Pathway Microfinance Bank ,90515,90515
Numo Microfinance Bank,90516,90516
Uhuru Microfinance Bank,90517,90517
Afemai Microfinance Bank,90518,90518
Ibom Fadama Microfinance Bank,90519,90519
Ic Globalmicrofinance Bank,90520,90520
Foresight Microfinance Bank,90521,90521
Chase Microfinance Bank,90523,90523
Solidrock Microfinance Bank,90524,90524
Triple A Microfinance Bank,90525,90525
Crescent Microfinance Bank,90526,90526
Ojokoro Microfinance Bank,90527,90527
Mgbidi Microfinance Bank,90528,90528
Ampersand Microfinance Bank,90529,90529
Confidence Microfinance Bank Ltd,90530,90530
Aku Microfinance Bank,90531,90531
Ibolo Micorfinance Bank Ltd,90532,90532
Polyibadan Microfinance Bank,90534,90534
Nkpolu-Ust Microfinance,90535,90535
Ikoyi-Osun Microfinance Bank,90536,90536
Lobrem Microfinance Bank,90537,90537
Blue Investments Microfinance Bank,90538,90538
Enrich Microfinance Bank,90539,90539
Aztec Microfinance Bank,90540,90540
Excellent Microfinance Bank,90541,90541
Otuo Microfinance Bank Ltd,90542,90542
Iwoama Microfinance Bank,90543,90543
Aspire Microfinance Bank Ltd,90544,90544
Abulesoro Microfinance Bank Ltd,90545,90545
Ijebu-Ife Microfinance Bank Ltd,90546,90546
Rockshield Microfinance Bank,90547,90547
Ally Microfinance Bank,90548,90548
Kc Microfinance Bank,90549,90549
Green Energy Microfinance Bank Ltd,90550,90550
Fairmoney Microfinance Bank Ltd,90551,90551
Ekimogun Microfinance Bank,90552,90552
Consistent Trust Microfinance Bank Ltd,90553,90553
Kayvee Microfinance Bank,90554,90554
Bishopgate Microfinance Bank,90555,90555
Egwafin Microfinance Bank Ltd,90556,90556
Lifegate Microfinance Bank Ltd,90557,90557
Shongom Microfinance Bank Ltd,90558,90558
Shield Microfinance Bank Ltd,90559,90559
TANADI MFB (CRUST),90560,90560
Akuchukwu Microfinance Bank Ltd,90561,90561
Cedar Microfinance Bank Ltd,90562,90562
Balera Microfinance Bank Ltd,90563,90563
Supreme Microfinance Bank Ltd,90564,90564
Oke-Aro Oredegbe Microfinance Bank Ltd,90565,90565
Okuku Microfinance Bank Ltd,90566,90566
Orokam Microfinance Bank Ltd,90567,90567
Broadview Microfinance Bank Ltd,90568,90568
Qube Microfinance Bank Ltd,90569,90569
Iyamoye Microfinance Bank Ltd,90570,90570
Ilaro Poly Microfinance Bank Ltd,90571,90571
Ewt Microfinance Bank,90572,90572
Snow Microfinance Bank,90573,90573
GOLDMAN MICROFINANCE BANK,90574,90574
Firstmidas Microfinance Bank Ltd,90575,90575
Octopus Microfinance Bank Ltd,90576,90576
Iwade Microfinance Bank Ltd,90578,90578
Gbede Microfinance Bank,90579,90579
Otech Microfinance Bank Ltd,90580,90580
BANC CORP MICROFINANCE BANK,90581,90581
STATESIDE MFB,90583,90583
ISLAND MICROFINANCE BANK ,90584,90584
GOMBE MICROFINANCE BANK LTD,90586,90586
Microbiz Microfinance Bank,90587,90587
Orisun MFB,90588,90588
Mercury MFB,90589,90589
WAYA MICROFINANCE BANK LTD,90590,90590
Gabsyn Microfinance Bank,90591,90591
KANO POLY MFB,90592,90592
TASUED MICROFINANCE BANK LTD,90593,90593
IBA MFB ,90598,90598
Greenacres MFB,90599,90599
AVE MARIA MICROFINANCE BANK LTD,90600,90600
KENECHUKWU MICROFINANCE BANK,90602,90602
Macrod MFB,90603,90603
KKU Microfinance Bank,90606,90606
Akpo Microfinance Bank,90608,90608
Ummah Microfinance Bank ,90609,90609
AMOYE MICROFINANCE BANK,90610,90610
Creditville Microfinance Bank,90611,90611
Medef Microfinance Bank,90612,90612
Total Trust Microfinance Bank,90613,90613
FLOURISH MFB,90614,90614
Beststar Microfinance Bank,90615,90615
RAYYAN Microfinance Bank,90616,90616
Iyin Ekiti MFB,90620,90620
GIDAUNIYAR ALHERI MICROFINANCE BANK,90621,90621
Mab Allianz MFB,90623,90623
Parkway-ReadyCash,100003,100003
Opay,100004,100004
Stanbic IBTC @ease wallet,100007,100007
Ecobank Xpress Account,100008,100008
GTMobile,100009,100009
TeasyMobile,100010,100010
VTNetworks,100012,100012
AccessMobile,100013,100013
FBNMobile,100014,100014
Kegow,100015,100015
MoneyBox,100020,100020
Eartholeum,100021,100021
GoMoney,100022,100022
Zinternet Nigera Limited,100025,100025
One Finance,100026,100026
Intellifin,100027,100027
AG Mortgage Bank,100028,100028
Innovectives Kesh,100029,100029
FCMB Easy Account,100031,100031
Contec Global Infotech Limited (NowNow),100032,100032
PALMPAY,100033,100033
Zwallet,100034,100034
M36,100035,100035
Kegow(Chamsmobile),100036,100036
Titan-Paystack,100039,100039
Beta-Access Yello,100052,100052
PayAttitude Online,110001,110001
Flutterwave Technology Solutions Limited,110002,110002
Interswitch Limited,110003,110003
First Apple Limited,110004,110004
3Line Card Management Limited,110005,110005
Paystack Payments Limited,110006,110006
TeamApt,110007,110007
Kadick Integration Limited,110008,110008
Venture Garden Nigeria Limited,110009,110009
Interswitch Financial Inclusion Services (Ifis),110010,110010
Arca Payments,110011,110011
Cellulant Pssp,110012,110012
Qr Payments,110013,110013
Cyberspace Limited,110014,110014
Vas2Nets Limited,110015,110015
Crowdforce,110017,110017
Microsystems Investment And Development Limited,110018,110018
Nibssussd Payments,110019,110019
Bud Infrastructure Limited,110021,110021
Koraypay,110022,110022
Capricorn Digital,110023,110023
Resident Fintech Limited,110024,110024
Netapps Technology Limited,110025,110025
Spay Business,110026,110026
Yello Digital Financial Services,110027,110027
Nomba Financial Services Limited,110028,110028
Woven Finance,110029,110029
Leadremit Limited,110044,110044
9 Payment Service Bank,120001,120001
Hopepsb,120002,120002
Momo Psb,120003,120003
Smartcash Payment Service Bank,120004,120004
Money Master Psb,120005,120005
FSDH Merchant Bank,400001,400001
CBN_TSA,999001,999001
bank_name,bank_code,sort_code
ACCESS BANK PLC,44,44150291
MAINSTREET BANK PLC,14,14150030
KEYSTONE BANK PLC,82,82150017
DIAMOND BANK PLC,63,63150162
ECOBANK NIGERIA PLC,50,50150010
FIDELITY BANK PLC,70,70150003
FIRST BANK OF NIGERIA PLC,11,11151003
FIRST CITY MONUMENT BANK PLC,214,214150018
GUARANTY TRUST BANK PLC,58,58152052
STANBIC IBTC BANK PLC,221,221159522
NIGERIA INTERNATINAL BANK (CITIBANK),23,23150005
RAND MERCHANT BANK,502,502155502
SKYE BANK PLC,76,76151365
STANDARD CHARTERED BANK PLC,68,68150015
STERLING BANK PLC,232,232150016
UNION BANK OF NIGERIA PLC,32,32154568
UNITED BANK FOR AFRICA PLC,33,33152048
UNITY BANK PLC,215,215082334
WEMA BANK PLC,35,35150103
ZENITH INTERNATIONAL BANK PLC,57,57150013
JAIZ BANK,301,301080020
CENTRAL BANK OF NIGERIA,1,1080032
HERITAGE BANK,30,30150014
SunTrust ,100,100152049
Parallex MFB,526,526155261
Finatrust Microfinance Bank,608,608155608
Providus Bank ,101,101152019
Paga,327,3010800207
FSDH MERCHANT BANK,601,601155601
NPF MFB,552,552155552
Page MFBank,560,560155560
FBNQuest Merchant Bank Limited,60002,60002600
IBILE MFB,90118,90185090
HASAL MICROFINANCE BANK,90121,90118509
Stanbic Mobile Money,304,304
FortisMobile,308,308
TagPay,328,328
Sterling Mobile,326,326
Omoluabi Mortgage Bank,990,990
ReadyCash (Parkway),311,311
eTranzact,306,306
Access Money,323,323
Hedonmark,324,324
EcoMobile,307,307
Fidelity Mobile,318,318
ZenithMobile,322,322
ChamsMobile,303,303
SafeTrust Mortgage Bank,403,403
Covenant Microfinance Bank,551,551
Imperial Homes Mortgage Bank,415,415
Paycom,305,305
Cellulant,317,317
ASO Savings and & Loans,401,401
Jubilee Life Mortgage Bank,402,402
Mkudi,313,313
FET,314,314
Trustbond,523,523
Test bank,90175,90175
Globus Bank,103,103
Enterprise Bank,19,19
Titan Trust Bank,25,25
Taj Bank Limited,26,26
Central Bank Of Nigeria,28,28
Lotus Bank,29,29
PremiumTrust Bank,31,31
SIGNATURE BANK,34,34
Optimus Bank,36,36
County Finance Ltd,50001,50001
Fewchore Finance Company Limited,50002,50002
Sagegrey Finance Limited,50003,50003
Newedge Finance Ltd,50004,50004
Aaa Finance,50005,50005
Branch International Financial Services,50006,50006
Tekla Finance Ltd,50007,50007
SIMPLE FINANCE LIMITED,50008,50008
FAST CREDIT,50009,50009
FUNDQUEST FINANCIAL SERVICES LTD,50010,50010
Enco Finance,50012,50012
Dignity Finance,50013,50013
TRINITY FINANCIAL SERVICES LIMITED,50014,50014
Coronation Merchant Bank,60001,60001
Nova Merchant Bank,60003,60003
Greenwich Merchant Bank,60004,60004
NPF MicroFinance Bank,70001,70001
Fortis Microfinance Bank,70002,70002
Omoluabi savings and loans,70007,70007
Page Financials,70008,70008
Gateway Mortgage Bank,70009,70009
Abbey Mortgage Bank,70010,70010
Refuge Mortgage Bank,70011,70011
Lagos Building Investment Company,70012,70012
Platinum Mortgage Bank,70013,70013
First Generation Mortgage Bank,70014,70014
Brent Mortgage Bank,70015,70015
Infinity Trust Mortgage Bank,70016,70016
Haggai Mortgage Bank Limited,70017,70017
Mayfresh Mortgage Bank,70019,70019
Coop Mortgage Bank,70021,70021
Stb Mortgage Bank,70022,70022
Delta Trust Mortgage Bank,70023,70023
Homebase Mortgage,70024,70024
Akwa Savings & Loans Limited,70025,70025
Fha Mortgage Bank Ltd,70026,70026
Tajwallet,80002,80002
ASOSavings & Loans,90001,90001
Jubilee-Life Mortgage  Bank,90003,90003
Parralex Microfinance bank,90004,90004
Trustbond Mortgage Bank,90005,90005
SafeTrust ,90006,90006
